date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:02:28	327/327	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2018%20May%202018%2002:02:36%20GMT	http://luckyspin.aliansoftware.net/robots.txt		(from )
09:02:29	32101/32101	---M--	200	added ('OK')	text/html	etag:%223e1178-7d65-5648a441c48bf%22	http://luckyspin.aliansoftware.net/	E:/AnhTT/Web%20Template/luckyspin/luckyspin.aliansoftware.net/index.html	(from )
09:02:30	120502/120502	---M--	200	added ('OK')	text/css	etag:%22861b9-1d6b6-563ffb1702cdc%22	http://luckyspin.aliansoftware.net/css/bootstrap.css	E:/AnhTT/Web%20Template/luckyspin/luckyspin.aliansoftware.net/css/bootstrap.css	(from http://luckyspin.aliansoftware.net/)
09:02:32	40775/40775	---M--	200	added ('OK')	text/css	etag:%2286d56-9f47-56410d8811446%22	http://luckyspin.aliansoftware.net/css/luckySpin.min.css	E:/AnhTT/Web%20Template/luckyspin/luckyspin.aliansoftware.net/css/luckySpin.min.css	(from http://luckyspin.aliansoftware.net/)
09:02:34	31633/31633	---M--	200	added ('OK')	text/html	etag:%223e66de-7b91-5639dd948de80%22	http://luckyspin.aliansoftware.net/document/luckyspindoc.html	E:/AnhTT/Web%20Template/luckyspin/luckyspin.aliansoftware.net/document/luckyspindoc.html	(from http://luckyspin.aliansoftware.net/)
09:02:37	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%221519106283%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	E:/AnhTT/Web%20Template/luckyspin/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from http://luckyspin.aliansoftware.net/)
09:02:39	47930/47930	---M--	200	added ('OK')	image/png	etag:%223e65fa-bb3a-5639d0f581780%22	http://luckyspin.aliansoftware.net/images/logo.png	E:/AnhTT/Web%20Template/luckyspin/luckyspin.aliansoftware.net/images/logo.png	(from http://luckyspin.aliansoftware.net/)
09:02:40	43508/43508	---M--	200	added ('OK')	image/jpeg	etag:%2286521-a9f4-56410e05872b3%22	http://luckyspin.aliansoftware.net/images/Dociment-Image.jpg	E:/AnhTT/Web%20Template/luckyspin/luckyspin.aliansoftware.net/images/Dociment-Image.jpg	(from http://luckyspin.aliansoftware.net/)
09:02:43	37192/37192	---M--	200	added ('OK')	application/javascript	etag:%223e6609-9148-5639d3c864100%22	http://luckyspin.aliansoftware.net/js/jQuery.luckywheel.min.js	E:/AnhTT/Web%20Template/luckyspin/luckyspin.aliansoftware.net/js/jQuery.luckywheel.min.js	(from http://luckyspin.aliansoftware.net/)
09:02:44	18743/18743	---M--	200	added ('OK')	application/javascript	etag:%2286435-4937-5640e78d4ac32%22	http://luckyspin.aliansoftware.net/js/script.js	E:/AnhTT/Web%20Template/luckyspin/luckyspin.aliansoftware.net/js/script.js	(from http://luckyspin.aliansoftware.net/)
09:02:44	107961/107961	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202017%2000:29:40%20GMT	http://cdnjs.cloudflare.com/ajax/libs/gsap/latest/TweenMax.min.js	E:/AnhTT/Web%20Template/luckyspin/cdnjs.cloudflare.com/ajax/libs/gsap/latest/TweenMax.min.js	(from http://luckyspin.aliansoftware.net/)
09:02:45	6197/6197	---M--	200	added ('OK')	application/javascript	etag:%2286d46-1835-563ffa0b33e60%22	http://luckyspin.aliansoftware.net/js/setting.js	E:/AnhTT/Web%20Template/luckyspin/luckyspin.aliansoftware.net/js/setting.js	(from http://luckyspin.aliansoftware.net/)
09:02:48	14079/14079	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223e4e8b-36ff-559dcb03cb900%22	http://luckyspin.aliansoftware.net/fonts/glyphicons-halflings-regular.eot	E:/AnhTT/Web%20Template/luckyspin/luckyspin.aliansoftware.net/fonts/glyphicons-halflings-regular.eot	(from http://luckyspin.aliansoftware.net/css/bootstrap.css)
09:02:49	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	E:/AnhTT/Web%20Template/luckyspin/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from http://luckyspin.aliansoftware.net/)
